,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG,XP_AV,1-19_AV,20-29_AV,30-39_AV,40-49_AV,50+_AV,TOTAL_AV
116,Tristan Alvano,NEB,27.0,27.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,7.0,1.0,1.0,9.0,15.0,55.0,0.48600000000000065,0.0,0.39200000000000035,-0.4399999999999995,-7.7059999999999995,1.536,-5.7319999999999975
117,Lucas Carneiro,WKU,47.0,47.0,0.0,0.0,5.0,6.0,0.0,1.0,4.0,5.0,0.0,0.0,9.0,12.0,45.0,0.8460000000000036,0.0,-1.823999999999998,-2.488,2.210000000000001,0.0,-1.2559999999999936
118,Kyle Cunanan,CLT,16.0,16.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,7.0,0.0,1.0,9.0,15.0,49.0,0.28800000000000026,0.0,0.39200000000000035,-6.4399999999999995,1.2940000000000005,-1.464,-5.929999999999998
119,Tim Horn,RICE,44.0,44.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,5.0,0.0,0.0,8.0,12.0,48.0,0.7920000000000016,0.0,-2.2159999999999993,-1.4640000000000004,-0.7899999999999991,0.0,-3.6779999999999973
120,Jack Martin,HOU,34.0,34.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,7.0,0.0,2.0,8.0,14.0,44.0,0.6120000000000019,0.0,0.19600000000000017,2.048,-4.7059999999999995,-2.928,-4.777999999999997
121,Liam Rickman,GAST,35.0,36.0,0.0,0.0,2.0,2.0,5.0,7.0,1.0,1.0,0.0,0.0,8.0,10.0,46.0,-0.35199999999999676,0.0,0.39200000000000035,-2.4160000000000004,1.042,0.0,-1.3339999999999967
122,Mateen Bhaghani,CAL,29.0,29.0,0.0,0.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,8.0,9.0,43.0,0.522000000000002,0.0,0.588000000000001,-0.952,2.084,0.0,2.242000000000003
123,Camden Price,TEM,24.0,26.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,7.0,0.0,0.0,7.0,12.0,42.0,-1.532,0.0,0.0,-3.4399999999999995,-1.7059999999999995,0.0,-6.677999999999999
124,Jacob Borcila,VAN,29.0,30.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,5.0,0.0,0.0,7.0,10.0,44.0,-0.46000000000000085,0.0,0.19600000000000017,-0.952,-0.7899999999999991,0.0,-2.006
125,Tristan Mattson,CMU,31.0,33.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,7.0,14.0,58.0,-1.4059999999999988,0.0,0.588000000000001,-4.464,-1.8319999999999999,-2.856,-9.969999999999999
126,Joe McFadden,CONN,20.0,23.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,7.0,1.0,1.0,7.0,13.0,50.0,-2.5859999999999985,0.0,0.19600000000000017,2.048,-10.706,1.536,-9.511999999999999
127,Liam Gray,CCU,17.0,17.0,0.0,0.0,4.0,4.0,1.0,4.0,2.0,2.0,0.0,2.0,7.0,12.0,43.0,0.30600000000000094,0.0,0.7840000000000007,-6.952,2.084,-2.928,-6.705999999999998
128,Ben Freehill,PUR,21.0,22.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.0,0.0,1.0,6.0,11.0,44.0,-0.6039999999999992,0.0,0.0,-2.928000000000001,-1.8319999999999999,-1.464,-6.827999999999999
129,RJ Lopez,UCLA,31.0,32.0,0.0,0.0,1.0,2.0,4.0,5.0,1.0,4.0,0.0,0.0,6.0,11.0,47.0,-0.4239999999999995,0.0,-2.6079999999999997,-0.4399999999999995,-4.832,0.0,-8.303999999999998
130,Nathan Kirkwood,NAVY,16.0,17.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,5.0,0.0,0.0,6.0,9.0,45.0,-0.6939999999999991,0.0,0.19600000000000017,1.5359999999999996,-3.789999999999999,0.0,-2.7519999999999984
Total,,,4820.0,4906.0,14.0,14.0,573.0,613.0,647.0,780.0,490.0,751.0,123.0,252.0,1846.0,2409.0,,2.3079999999999927,0.0,0.14800000000013824,0.35999999999989996,-0.4580000000000837,0.07200000000000273,2.42999999999995
